------ Basic information ------
Temporal cardinal of nodes: 1036970
Distinct cardinal of nodes: 916
Temporal cardinal of links: 8958
Distinct cardinal of links: 1072
Duration: 18607

------ Stream metrics ------
Coverage: 0.060841
Number of nodes: 55.730102
Node duration: 1132.063319
Link duration: 0.021376
Uniformity: 0.032667
Compactness: 0.060841
Density: 0.000298
Average node degree: 0.013090
Node clustering coefficient: 0.000000
Transitivity ratio: 0.000000

------ Node and link metrics ------
Node 163 | Contribution: 0.000054 | Density: 0.014085 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 164 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 165 | Contribution: 0.002203 | Density: 0.000690 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 166 | Contribution: 0.000054 | Density: 0.012048 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 167 | Contribution: 0.133982 | Density: 0.000286 | Degree: 0.002042 | Clustering coefficient: 0.000000
Node 168 | Contribution: 0.000054 | Density: 0.021277 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 169 | Contribution: 0.000054 | Density: 0.016949 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 170 | Contribution: 0.000054 | Density: 0.024390 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 171 | Contribution: 0.000054 | Density: 0.013158 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 172 | Contribution: 0.698124 | Density: 0.001161 | Degree: 0.049121 | Clustering coefficient: 0.000000
Node 173 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 174 | Contribution: 0.017574 | Density: 0.000157 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 175 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 176 | Contribution: 0.000054 | Density: 0.027027 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 177 | Contribution: 0.000269 | Density: 0.006667 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 178 | Contribution: 0.000054 | Density: 0.024390 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 179 | Contribution: 0.000054 | Density: 0.012346 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 180 | Contribution: 1.000000 | Density: 0.000062 | Degree: 0.003386 | Clustering coefficient: 0.000000
Node 181 | Contribution: 0.015693 | Density: 0.000376 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 182 | Contribution: 0.000054 | Density: 0.020408 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 183 | Contribution: 0.000054 | Density: 0.013158 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 184 | Contribution: 0.113076 | Density: 0.000019 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 185 | Contribution: 0.000054 | Density: 0.022727 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 186 | Contribution: 0.000054 | Density: 0.014493 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 187 | Contribution: 0.001182 | Density: 0.001280 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 188 | Contribution: 0.263718 | Density: 0.000112 | Degree: 0.001881 | Clustering coefficient: 0.000000
Node 189 | Contribution: 0.000054 | Density: 0.014085 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 190 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 191 | Contribution: 0.000054 | Density: 0.025000 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 192 | Contribution: 0.180631 | Density: 0.000025 | Degree: 0.000322 | Clustering coefficient: 0.000000
Node 193 | Contribution: 0.051056 | Density: 0.000589 | Degree: 0.001182 | Clustering coefficient: 0.000000
Node 194 | Contribution: 0.008706 | Density: 0.000297 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 195 | Contribution: 0.039448 | Density: 0.000877 | Degree: 0.001505 | Clustering coefficient: 0.000000
Node 196 | Contribution: 0.009781 | Density: 0.000309 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 197 | Contribution: 0.001236 | Density: 0.003623 | Degree: 0.000269 | Clustering coefficient: 0.000000
Node 198 | Contribution: 0.032676 | Density: 0.000049 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 199 | Contribution: 0.000054 | Density: 0.012987 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 200 | Contribution: 0.003063 | Density: 0.003636 | Degree: 0.000269 | Clustering coefficient: 0.000000
Node 201 | Contribution: 0.000054 | Density: 0.020000 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 202 | Contribution: 0.000054 | Density: 0.017857 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 203 | Contribution: 0.000054 | Density: 0.017544 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 204 | Contribution: 0.791638 | Density: 0.000029 | Degree: 0.001344 | Clustering coefficient: 0.000000
Node 205 | Contribution: 1.000000 | Density: 0.000001 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 206 | Contribution: 0.000054 | Density: 0.016949 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 207 | Contribution: 1.000000 | Density: 0.000028 | Degree: 0.001559 | Clustering coefficient: 0.000000
Node 208 | Contribution: 0.000054 | Density: 0.013699 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 209 | Contribution: 0.000054 | Density: 0.027027 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 210 | Contribution: 0.348471 | Density: 0.000005 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 211 | Contribution: 0.000860 | Density: 0.005000 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 212 | Contribution: 0.000054 | Density: 0.013699 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 213 | Contribution: 0.000054 | Density: 0.025000 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 214 | Contribution: 0.000054 | Density: 0.027027 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 215 | Contribution: 0.000054 | Density: 0.030303 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 216 | Contribution: 0.131510 | Density: 0.000017 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 217 | Contribution: 0.022357 | Density: 0.000097 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 218 | Contribution: 0.097813 | Density: 0.000314 | Degree: 0.001344 | Clustering coefficient: 0.000000
Node 219 | Contribution: 0.042242 | Density: 0.000044 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 220 | Contribution: 0.000537 | Density: 0.002959 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 221 | Contribution: 0.000054 | Density: 0.024390 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 222 | Contribution: 0.003171 | Density: 0.000846 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 223 | Contribution: 0.000054 | Density: 0.017544 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 224 | Contribution: 0.023110 | Density: 0.000293 | Degree: 0.000376 | Clustering coefficient: 0.000000
Node 225 | Contribution: 0.005106 | Density: 0.000278 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 226 | Contribution: 0.000054 | Density: 0.013158 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 227 | Contribution: 0.000054 | Density: 0.012987 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 228 | Contribution: 0.000054 | Density: 0.015625 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 229 | Contribution: 0.000054 | Density: 0.013158 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 230 | Contribution: 0.000054 | Density: 0.012987 | Degree: 0.000054 | Clustering coefficient: 0.000000
